Name,Image Link,Movie Watch link,Description,IMDB Ratings,Rotten Tomatoes Ratings,cast,Timeline,Categories,Language
GANG RELATED HD-720P,https://cdn.themovieseries.net//gang-related-srm/cover.png,https://vidcloud9.com/streaming.php?id=NTcwMg==&title=Gang+Related+HD-720p&typesub=SUB&sub=L2dhbmctcmVsYXRlZC1zcm0vZ2FuZy1yZWxhdGVkLXNybS52dHQ=&cover=L2dhbmctcmVsYXRlZC1zcm0vY292ZXIucG5n,Two corrupt cops accidentally murder an undercover DEA agentcoma% and frantically try to cover their tracks by framing a homeless man for the crime. That involves juggling evidencecoma% coaching witnessescoma% and improvising to keep their desperate scheme from unraveling.                    , 6.5/10  (7832) , 53%  (17) ,cast :,timeline : ,categories :,English
RUNNING SCARED HD-720P,https://cache.cdnfile.info/images/79121ca1f0d8d3b33c3208da9d5378c0/1_cover.jpg,https://vidcloud9.com/streaming.php?id=NTcwMQ==&title=Running+Scared+HD-720p&typesub=SUB&sub=L3J1bm5pbmctc2NhcmVkLWhkLTcyMHAvcnVubmluZy1zY2FyZWQtaGQtNzIwcC52dHQ=&cover=L3J1bm5pbmctc2NhcmVkLW9yZS9jb3Zlci5wbmc=,After a drug-op gone badcoma% Joey Gazelle is put in charge of disposing the gun that shot a dirty cop. But things goes wrong for Joey after the neighbor kid stole the gun and used it to shoot his abusive father. Now Joey has to find the kid and the gun before the police and the mob find them first.                    , 7.4/10  (96233) , 41%  (130) ,cast :,timeline : ,categories :,English
FOOLS RUSH IN HD-720P,https://cdn.themovieseries.net//fools-rush-in-gpg/cover.png,https://vidcloud9.com/streaming.php?id=NTcwMA==&title=Fools+Rush+In+HD-720p&typesub=SUB&sub=&cover=L2Zvb2xzLXJ1c2gtaW4tZ3BnL2NvdmVyLnBuZw==,Nightclub designer Alex Whitman encounters the beautiful photographer Isabel Fuentes at a restaurant. The two have a passionate one-night standcoma% and Isabel ends up pregnant. After a speedy marriage in a Vegas chapelcoma% it doesn't take long for the newlyweds to begin regretting their haste.                    , 6.1/10  (32101) ,,cast :,timeline : ,categories :,English
SAVING FACE HD-720P,https://cdn.themovieseries.net//saving-face-pdd/cover.png,https://vidcloud9.com/streaming.php?id=NTY5OQ==&title=Saving+Face+HD-720p&typesub=SUB&sub=L3NhdmluZy1mYWNlLXBkZC9zYXZpbmctZmFjZS1wZGQudnR0&cover=L3NhdmluZy1mYWNlLXBkZC9jb3Zlci5wbmc=,A Chinese-American lesbian and her traditionalist mother are reluctant to go public with secret loves that clash against cultural expectations.                    , 7.4/10  (10020) , 86%  (86) ,cast :,timeline : ,categories :,English
THE LOVELY BONES HD-720P,https://cdn.themovieseries.net//the-lovely-bones-imw/cover.png,https://vidcloud9.com/streaming.php?id=NTY5OA==&title=The+Lovely+Bones+HD-720p&typesub=SUB&sub=L3RoZS1sb3ZlbHktYm9uZXMtaGQtNzIwcC90aGUtbG92ZWx5LWJvbmVzLWhkLTcyMHAudnR0&cover=L3RoZS1sb3ZlbHktYm9uZXMtaW13L2NvdmVyLnBuZw==,A murdered fourteen-year-old girl tells the story from the place between Heaven and Earthcoma% showing the lives of the people around her and how they have changed all while attempting to get someone to find her lost body.                    , 6.7/10  (154752) , 32%  (246) ,cast :,timeline : ,categories :,English
DRIVEN HD-720P,https://cdn.themovieseries.net//driven-slp/cover.png,https://vidcloud9.com/streaming.php?id=NTY5Nw==&title=Driven+HD-720p&typesub=SUB&sub=L2RyaXZlbi1oZC03MjBwL2RyaXZlbi1oZC03MjBwLnZ0dA==&cover=L2RyaXZlbi1zbHAvY292ZXIucG5n,Talented rookie race-car driver Jimmy Bly has started losing his focus and begins to slip in the race rankings and a former CART champion is called in to give him guidance.                    , 6.3/10  (4630) , 63%  (51) ,cast :,timeline : ,categories :,English
WALL-E HD720P,https://cdn.themovieseries.net//wall-e-rsi/cover.png,https://vidcloud9.com/streaming.php?id=NTY5Ng==&title=WALL-E+HD720p&typesub=SUB&sub=L3dhbGwtZS1yc2kvd2FsbC1lLXJzaS52dHQ=&cover=L3dhbGwtZS1yc2kvY292ZXIucG5n,After hundreds of lonely years of doing what he was built forcoma% WALL-E discovers a new purpose in life when he meets a sleek search robot named EVE. And in order to save EVEcoma% WALL-E inadvertently embarks on a space journey that will ultimately decide the fate of mankind.                    , 8.4/10  (976569) , 95%  (258) ,cast :,timeline : ,categories :,English
PLANET OF THE APES 2001 HD-720P,https://cdn.themovieseries.net//planet-of-the-apes-2001-jda/cover.png,https://vidcloud9.com/streaming.php?id=NTY5NQ==&title=Planet+of+the+Apes+%282001%29+HD-720p&typesub=SUB&sub=L3BsYW5ldC1vZi10aGUtYXBlcy0yMDAxLWhkLTcyMHAvcGxhbmV0LW9mLXRoZS1hcGVzLTIwMDEtaGQtNzIwcC52dHQ=&cover=L3BsYW5ldC1vZi10aGUtYXBlcy0yMDAxLWpkYS9jb3Zlci5wbmc=,Air Force astronaut Leo Davidson trying to retrieve a monkey in space ends up landing on a planet inhabited by talking human-like apes. All the apes take this same 'human hating' attitudecoma% with the exception of onecoma% chimpanzee activist named Ari.                    , 5.7/10  (208111) , 44%  (159) ,cast :,timeline : ,categories :,English
NOTHING BUT TROUBLE HD-720P,https://cdn.themovieseries.net//nothing-but-trouble-jzi/cover.png,https://vidcloud9.com/streaming.php?id=NTY5NA==&title=Nothing+but+Trouble+HD-720p&typesub=SUB&sub=&cover=L25vdGhpbmctYnV0LXRyb3VibGUtanppL2NvdmVyLnBuZw==,A financier finds him and his friends the prisoners of a sadistic judge and his equally odd family in the backwoods of a bizarre mansion.                    , 5.2/10  (22265) , 5%  (22) ,cast :,timeline : ,categories :,English
THE IRON MONKEY HD-720P,https://cdn.themovieseries.net//the-iron-monkey-axj/cover.png,https://vidcloud9.com/streaming.php?id=NTY5Mw==&title=The+Iron+Monkey+HD-720p&typesub=SUB&sub=L3RoZS1pcm9uLW1vbmtleS1heGovdGhlLWlyb24tbW9ua2V5LWF4ai52dHQ=&cover=L3RoZS1pcm9uLW1vbmtleS1heGovY292ZXIucG5n,A masked bandit know as "Iron Monkey" steals from the corrupt authorities as a masked thief to give to the poor while another martial artist/doctor is forced to hunt him down. But a major threat unites them as a powerful and traitorous shaolin monk takes over the authorities.                    , 7.5/10  (15215) ,,cast :,timeline : ,categories :,English
