Name,Image Link,Movie Watch link,Description,IMDB Ratings,Rotten Tomatoes Ratings,cast,Timeline,Categories,Language
THE SECRETS WE KEEP,https://cdn.themovieseries.net/cover/the-secrets-we-keep.png,https://vidcloud9.com/streaming.php?id=MzI4OTU3&title=The+Secrets+We+Keep&typesub=SUB&sub=&cover=Y292ZXIvdGhlLXNlY3JldHMtd2Uta2VlcC5wbmc=,In post-WWII Americacoma% a womancoma% rebuilding her life in the suburbs with her husbandcoma% kidnaps her neighbor and seeks vengeance for the heinous war crimes she believes he committed against her.                    , 6.8/10  (36) , 63%  (30) ,cast :,timeline : ,categories :,English
THE DEVIL ALL THE TIME,https://cdn.themovieseries.net/cover/the-devil-all-the-time.png,https://vidcloud9.com/streaming.php?id=MzI4ODY2&title=The+Devil+All+the+Time&typesub=SUB&sub=L3RoZS1kZXZpbC1hbGwtdGhlLXRpbWUvdGhlLWRldmlsLWFsbC10aGUtdGltZS52dHQ=&cover=Y292ZXIvdGhlLWRldmlsLWFsbC10aGUtdGltZS5wbmc=,Sinister characters converge around a young man devoted to protecting those he loves in a postwar backwoods town teeming with corruption and brutality.                    , 7.2/10  (13355) , 65%  (124) ,cast :,timeline : ,categories :,English
THE BROKEN HEARTS GALLERY ,https://cdn.themovieseries.net/cover/the-broken-hearts-gallery.png,https://vidcloud9.com/streaming.php?id=MzI4NjQ1&title=The+Broken+Hearts+Gallery+&typesub=SUB&sub=&cover=Y292ZXIvdGhlLWJyb2tlbi1oZWFydHMtZ2FsbGVyeS5wbmc=,After a break upcoma% a young woman decides to start a gallery where people can leave trinkets from past relationships.                    , 6.6/10  (466) , 76%  (93) ,cast :,timeline : ,categories :,English
MIGNONNES,https://cdn.themovieseries.net/cover/mignonnes.png,https://vidcloud9.com/streaming.php?id=MzI4NDU3&title=Mignonnes&typesub=SUB&sub=L21pZ25vbm5lcy9taWdub25uZXMudnR0&cover=Y292ZXIvbWlnbm9ubmVzLnBuZw==,Amycoma% an 11-year-old girlcoma% joins a group of dancers named "the cuties" at schoolcoma% and rapidly grows aware of her burgeoning femininity - upsetting her mother and her values in the process.                    ,, 85%  (59) ,cast :,timeline : ,categories :,English
AFTER WE COLLIDED ,https://cdn.themovieseries.net/cover/after-we-collided.png,https://vidcloud9.com/streaming.php?id=MzI4Mjg3&title=After+We+Collided+&typesub=SUB&sub=&cover=Y292ZXIvYWZ0ZXItd2UtY29sbGlkZWQucG5n,Based on the 2014 romance novel of the same namecoma% this follows the love life of two young adults.                    , 5.6/10  (3374) ,,cast :,timeline : ,categories :,English
IM THINKING OF ENDING THINGS,https://cdn.themovieseries.net/cover/im-thinking-of-ending-things.png,https://vidcloud9.com/streaming.php?id=MzI4MjM5&title=I%27m+Thinking+of+Ending+Things&typesub=SUB&sub=L2ltLXRoaW5raW5nLW9mLWVuZGluZy10aGluZ3MvaW0tdGhpbmtpbmctb2YtZW5kaW5nLXRoaW5ncy52dHQ=&cover=Y292ZXIvaW0tdGhpbmtpbmctb2YtZW5kaW5nLXRoaW5ncy5wbmc=,Full of misgivingscoma% a young woman travels with her new boyfriend to his parents secluded farm. Upon arrivingcoma% she comes to question everything she thought she knew about himcoma% and herself.                    , 6.8/10  (30001) , 83%  (206) ,cast :,timeline : ,categories :,English
