Name,Image Link,Movie Watch link,Description,IMDB Ratings,Rotten Tomatoes Ratings,cast,Timeline,Categories,Language
WISH UPON A UNICORN,https://cdn.themovieseries.net/cover/wish-upon-a-unicorn.png,https://vidcloud9.com/streaming.php?id=MzI4ODY5&title=Wish+Upon+A+Unicorn&typesub=SUB&sub=&cover=Y292ZXIvd2lzaC11cG9uLWEtdW5pY29ybi5wbmc=,Two children discover that their mother is gone. The youngest of the paircoma% adventurer and upcomming singercoma% Long Johnson forces his older sistercoma% Lily Johnsoncoma% to hunt down a unicorn with magical blood.                    , 4.4/10  (17) ,,cast :,timeline : ,categories :,English
THE PARAMEDIC,https://cdn.themovieseries.net/cover/the-paramedic.png,https://vidcloud9.com/streaming.php?id=MzI4ODY4&title=The+Paramedic&typesub=SUB&sub=&cover=Y292ZXIvdGhlLXBhcmFtZWRpYy5wbmc=,Angel works in an ambulance service. After a tragic accidentcoma% his personal life begins to deteriorate as he becomes more and more suspicious of his partner Vane.                    , 6/10  (473) ,,cast :,timeline : ,categories :,English
THE LOST OKOROSHI,https://cdn.themovieseries.net/cover/the-lost-okoroshi.png,https://vidcloud9.com/streaming.php?id=MzI4ODY3&title=The+Lost+Okoroshi&typesub=SUB&sub=&cover=Y292ZXIvdGhlLWxvc3Qtb2tvcm9zaGkucG5n,Haunted by dreams of an ancestral Okoroshi masqueradecoma% a disillusioned security guard wakes up one morning to find himself transformed into a mutecoma% purple spiritcoma% in Abba Makamas surrealist romp through the sprawling city of Lagos.                    , 6.1/10  (66) , 86%  (7) ,cast :,timeline : ,categories :,English
ONE HOUR OUTCALL,https://cdn.themovieseries.net/cover/one-hour-outcall.png,https://vidcloud9.com/streaming.php?id=MzI4ODMz&title=One+Hour+Outcall&typesub=SUB&sub=&cover=Y292ZXIvb25lLWhvdXItb3V0Y2FsbC5wbmc=,A middle-aged mans interludes with a high-class escort force him to confront his relationship with his family and his own demons.                    , 4.5/10  (24) ,,cast :,timeline : ,categories :,English
DEMON NUN,https://cdn.themovieseries.net/cover/demon-nun.png,https://vidcloud9.com/streaming.php?id=MzI4ODMy&title=Demon+Nun&typesub=SUB&sub=L2RlbW9uLW51bi9kZW1vbi1udW4udnR0&cover=Y292ZXIvZGVtb24tbnVuLnBuZw==,A woman who is struggling with the conflict between her faith and her personal life must defend herself against the spirit of a demonic nun who is bent on destroying her.                    , 5.3/10  (113132) , 25%  (200) ,cast :,timeline : ,categories :,English
LASSIE COME HOME 1943,https://cdn.themovieseries.net/cover/lassie-come-home-1943.png,https://vidcloud9.com/streaming.php?id=MzI4ODA5&title=Lassie+Come+Home+%281943%29&typesub=SUB&sub=L2xhc3NpZS1jb21lLWhvbWUtMTk0My9sYXNzaWUtY29tZS1ob21lLTE5NDMudnR0&cover=Y292ZXIvbGFzc2llLWNvbWUtaG9tZS0xOTQzLnBuZw==,After her destitute family is forced to sell hercoma% a collie named Lassie (Pal) escapes from her new owner and begins the long trek from Scotland to her Yorkshire home.                    , 7.1/10  (4844) , 94%  (16) ,cast :,timeline : ,categories :,English
KILLER THERAPY,https://cdn.themovieseries.net/cover/killer-therapy.png,https://vidcloud9.com/streaming.php?id=MzI4ODA3&title=Killer+Therapy&typesub=SUB&sub=&cover=Y292ZXIva2lsbGVyLXRoZXJhcHkucG5n,A mentally unstable young man goes on a mission to hunt down and murder all the therapists he blames for messing up his mind and his life.                    , 5.4/10  (70) ,,cast :,timeline : ,categories :,English
THE BLACK EMPEROR OF BROADWAY,https://cdn.themovieseries.net/cover/the-black-emperor-of-broadway.png,https://vidcloud9.com/streaming.php?id=MzI4ODA2&title=The+Black+Emperor+of+Broadway&typesub=SUB&sub=&cover=Y292ZXIvdGhlLWJsYWNrLWVtcGVyb3Itb2YtYnJvYWR3YXkucG5n,In 1921coma% Eugene ONeill rejects the use of blackface and casts African American actor Charles Gilpin in the lead of his groundbreaking play "Emperor Jones".                    , 3/10  (36) ,,cast :,timeline : ,categories :,English
IVE GOT ISSUES,https://cdn.themovieseries.net/cover/ive-got-issues.png,https://vidcloud9.com/streaming.php?id=MzI4ODA1&title=I%27ve+Got+Issues&typesub=SUB&sub=&cover=Y292ZXIvaXZlLWdvdC1pc3N1ZXMucG5n,A comedy about despair and what to do with it.                    , 4.6/10  (46) ,,cast :,timeline : ,categories :,English
GUILT,https://cdn.themovieseries.net/cover/guilt.png,https://vidcloud9.com/streaming.php?id=MzI4ODA0&title=Guilt&typesub=SUB&sub=&cover=Y292ZXIvZ3VpbHQucG5n,Angered by all the child abuse in the worldcoma% a former child psychologist goes vigilantecoma% targeting child sex offenders. Howevercoma% disturbing revelations about a former case cause her to ...                    , 5.4/10  (3476) , 60%  (5) ,cast :,timeline : ,categories :,English
